日期,车辆总数,上线数,上线率
2019-03-25,4,3,75.0%
2019-03-26,4,3,75.0%
2019-03-27,5,5,100.0%
2019-03-28,5,5,100.0%
2019-03-29,5,5,100.0%
2019-03-30,5,5,100.0%
2019-04-01,1,1,100.0%
2019-04-02,1,1,100.0%
2019-04-08,1,1,100.0%
2019-04-09,1,1,100.0%
2019-04-10,1,1,100.0%
2019-04-11,1,1,100.0%
2019-04-12,1,1,100.0%
2019-04-13,1,1,100.0%
2019-04-16,1,1,100.0%
2019-04-17,1,1,100.0%
2019-04-18,1,1,100.0%
2019-04-19,1,1,100.0%
2019-04-22,1,1,100.0%
2019-04-23,1,1,100.0%
2019-04-24,1,1,100.0%
2019-04-27,1,1,100.0%
2019-04-28,1,1,100.0%
2019-04-29,2,2,100.0%
2019-04-30,2,2,100.0%
2019-05-04,2,2,100.0%
2019-05-05,2,2,100.0%
2019-05-06,2,2,100.0%
2019-05-07,2,2,100.0%
2019-05-08,2,2,100.0%
2019-05-09,2,2,100.0%
2019-05-10,2,2,100.0%
2019-05-13,2,2,100.0%
2019-05-14,3,2,66.6666666667%
2019-05-15,3,2,66.6666666667%
2019-05-16,3,3,100.0%
2019-05-17,3,3,100.0%
2019-05-18,2,2,100.0%
2019-05-20,2,2,100.0%
2019-05-23,3,3,100.0%
2019-05-24,3,3,100.0%
2019-05-27,3,3,100.0%
2019-05-28,3,3,100.0%
2019-05-29,3,3,100.0%
2019-05-30,3,3,100.0%
2019-06-04,3,3,100.0%
2019-06-06,3,3,100.0%
2019-06-10,3,3,100.0%
